id,gender,religion,age_gap,profile_sim,posts,wall_words,comments,likes,locations_together,photos_together,total_friend_count,user_friends,mutuals,mutual_strength,last_comm,response
861846797164887_572088216236609,0,1,0,0.666666667,14,6001,11,37,2,3,1085,15,11,0.733333333,1,4
861846797164887_827459873984841,0,1,2,0.333333333,1,6975,1,0,0,0,1085,15,12,0.8,100,2
861846797164887_279619438908503,1,1,0,1,0,6845,1,7,0,0,1085,15,13,0.866666667,2,3
861846797164887_594273914026437,1,1,1,0.666666667,4,5895,5,9,0,1,1085,15,11,0.733333333,2,3
861846797164887_10200798449601101,1,1,1,0.666666667,2,3853,1,2,0,0,1085,15,10,0.666666667,10,3
861846797164887_1534682523416829,0,1,0,0.666666667,9,4596,7,44,2,2,1085,15,12,0.8,93,4
1534682523416829_4506624800235,0,1,1,0.333333333,1,5437,3,11,0,0,694,15,14,0.933333333,17,3
1534682523416829_640111972762967,0,1,2,0.333333333,0,5203,1,16,0,0,694,15,13,0.866666667,54,3
1534682523416829_10207248756883122,0,0,0,0.333333333,5,5069,0,10,0,0,694,15,14,0.933333333,12,3
1534682523416829_827459873984841,1,1,2,0.666666667,0,4873,1,7,0,0,694,15,12,0.8,100,4
1534682523416829_279619438908503,0,1,0,0.666666667,2,4743,0,8,0,1,694,15,12,0.8,17,4
1534682523416829_594273914026437,0,1,1,0.333333333,3,3818,4,28,0,0,694,15,11,0.733333333,58,4
1534682523416829_572088216236609,1,1,0,1,72,4297,114,155,11,16,694,15,11,0.733333333,12,5
1534682523416829_861846797164887,0,1,0,0.666666667,9,4596,7,44,3,4,694,15,12,0.8,8,5
1534682523416829_10200798449601101,0,1,1,0.333333333,1,1744,0,3,0,0,694,15,10,0.666666667,100,4
10200798449601101_4506624800235,1,1,0,1,6,4740,4,4,2,2,462,12,11,0.916666667,12,2
10200798449601101_10207248756883122,1,0,1,0.333333333,12,4408,4,9,2,3,462,12,11,0.916666667,12,4
10200798449601101_827459873984841,0,1,1,0.333333333,107,4735,25,54,12,21,462,12,11,0.916666667,11,5
10200798449601101_572088216236609,0,1,1,0.333333333,0,3159,0,3,0,0,462,12,10,0.833333333,23,2
10200798449601101_640111972762967,1,1,1,0.666666667,2,4471,3,15,0,1,462,12,11,0.916666667,48,2
10200798449601101_279619438908503,1,1,1,0.666666667,5,4011,3,11,2,2,462,12,11,0.916666667,48,2
10200798449601101_594273914026437,1,1,0,1,2,3063,0,6,0,1,462,12,10,0.833333333,10,1
10200798449601101_1534682523416829,0,1,1,0.333333333,1,1744,0,3,0,0,462,12,10,0.833333333,40,3
10200798449601101_861846797164887,1,1,1,0.666666667,2,3853,1,2,0,1,462,12,10,0.833333333,34,2
10207248756883122_4506624800235,1,0,1,0.333333333,203,9280,121,93,28,55,1470,32,31,0.96875,1,5
10207248756883122_640111972762967,1,0,2,0.333333333,20,7825,7,60,1,8,1470,32,14,0.4375,89,4
10207248756883122_279619438908503,1,0,0,0.666666667,297,10109,118,74,29,56,1470,32,26,0.8125,1,5
10207248756883122_594273914026437,1,0,1,0.333333333,17,6455,16,24,3,7,1470,32,11,0.34375,1,5
10207248756883122_827459873984841,0,0,2,0,11,7510,4,28,1,4,1470,32,12,0.375,15,1
10207248756883122_1534682523416829,0,0,0,0.333333333,5,5069,0,10,0,2,1470,32,14,0.4375,11,1
10207248756883122_572088216236609,0,0,0,0.333333333,6,6464,1,13,0,2,1470,32,12,0.375,97,1
10207248756883122_861846797164887,1,0,0,0.666666667,2,7142,3,6,0,1,1470,32,14,0.4375,27,2
4683230375146_1904154999808796,1,0,0,0.666666667,84,7849,11,24,26,13,1798,28,15,0.535714286,2,4
4683230375146_642883955827095,1,0,1,0.333333333,106,9270,10,34,32,19,1798,28,24,0.857142857,1,4
4683230375146_1039259979422631,1,0,0,0.666666667,74,10410,18,23,36,21,1798,28,19,0.678571429,1,5
4683230375146_1545700675717582,1,0,0,0.666666667,10,8535,2,7,0,0,1798,28,17,0.607142857,3,5
4683230375146_1497382353899951,0,0,1,0,96,8956,12,30,33,19,1798,28,19,0.678571429,1,3
4683230375146_711895525541513,1,0,1,0.333333333,182,9341,29,62,40,26,1798,28,25,0.892857143,1,5
4683230375146_174874366207472,1,0,1,0.333333333,72,10826,10,15,36,22,1798,28,12,0.428571429,2,3
4683230375146_1690154111231962,1,0,1,0.333333333,33,5393,14,18,1,1,1798,28,19,0.678571429,64,4
174874366207472_1497382353899951,0,1,0,0.666666667,94,8513,2,38,36,18,1020,13,12,0.923076923,1,5
174874366207472_1904154999808796,1,1,1,0.666666667,60,7477,0,25,21,14,1020,13,11,0.846153846,1,5
174874366207472_4683230375146,1,0,1,0.333333333,72,10826,10,15,11,4,1020,13,12,0.923076923,1,5
174874366207472_711895525541513,1,1,0,1,112,8527,3,28,41,20,1020,13,12,0.923076923,1,5
174874366207472_1690154111231962,1,1,2,0.666666667,19,6018,0,12,9,1,1020,13,11,0.846153846,2,5
174874366207472_642883955827095,1,1,0,1,79,8919,12,49,36,18,1020,13,12,0.923076923,1,5
174874366207472_1039259979422631,1,1,1,0.666666667,59,10992,13,49,36,18,1020,13,12,0.923076923,1,5
174874366207472_1545700675717582,1,1,1,0.666666667,5,9111,3,30,3,1,1020,13,12,0.923076923,2,5
306829992828516_4683230375146,1,0,1,0.333333333,17,8416,4,8,15,1,1423,21,19,0.904761905,1,4
306829992828516_836141716438809,1,1,2,0.666666667,20,7093,8,58,1,8,1423,21,18,0.857142857,17,4
306829992828516_711895525541513,1,1,2,0.666666667,113,7225,28,106,30,8,1423,21,19,0.904761905,0,5
306829992828516_1690154111231962,1,1,0,1,19,4352,3,11,0,0,1423,21,15,0.714285714,45,2
306829992828516_836280526420039,1,0,1,0.333333333,0,5654,0,1,0,0,1423,21,11,0.523809524,100,1
306829992828516_763806457067242,1,1,0,1,12,7276,1,68,1,2,1423,21,14,0.666666667,30,2
306829992828516_1635582596668008,1,1,2,0.666666667,33,5467,7,14,26,0,1423,21,16,0.761904762,1,4
306829992828516_1039259979422631,1,1,1,0.666666667,39,9090,8,68,30,2,1423,21,17,0.80952381,1,4
306829992828516_1904154999808796,1,1,1,0.666666667,53,5892,11,35,0,6,1423,21,14,0.666666667,99,5
306829992828516_642883955827095,1,1,2,0.666666667,70,7634,2,34,24,0,1423,21,20,0.952380952,1,5
306829992828516_1497382353899951,0,1,2,0.333333333,27,6873,1,38,11,0,1423,21,16,0.761904762,98,2
306829992828516_1545700675717582,1,1,1,0.666666667,13,7573,11,31,0,1,1423,21,15,0.714285714,45,2
642883955827095_1904154999808796,1,1,1,0.666666667,139,5793,12,87,46,13,1165,26,15,0.576923077,0,3
642883955827095_1039259979422631,1,1,1,0.666666667,104,9074,3,38,80,16,1165,26,19,0.730769231,1,4
642883955827095_1545700675717582,1,1,1,0.666666667,10,7385,1,25,1,0,1165,26,17,0.653846154,0,2
642883955827095_1497382353899951,0,1,0,0.666666667,154,6785,18,144,60,20,1165,26,18,0.692307692,1,4
642883955827095_4683230375146,1,0,1,0.333333333,106,9270,10,34,43,5,1165,26,24,0.923076923,1,4
642883955827095_711895525541513,1,1,0,1,276,7231,42,120,88,21,1165,26,23,0.884615385,0,4
642883955827095_1690154111231962,1,1,2,0.666666667,162,4780,18,58,52,14,1165,26,19,0.730769231,2,5
642883955827095_174874366207472,1,1,0,1,79,8919,12,49,35,14,1165,26,12,0.461538462,0,3
711895525541513_1904154999808796,1,1,1,0.666666667,296,6146,35,100,73,55,1305,27,15,0.555555556,0,5
711895525541513_642883955827095,1,1,0,1,276,7231,42,120,135,39,1305,27,23,0.851851852,0,5
711895525541513_1039259979422631,1,1,1,0.666666667,182,8645,27,57,120,41,1305,27,19,0.703703704,1,5
711895525541513_1545700675717582,1,1,1,0.666666667,14,6695,9,20,6,3,1305,27,17,0.62962963,0,3
711895525541513_1497382353899951,0,1,0,0.666666667,150,5982,6,76,70,21,1305,27,18,0.666666667,1,3
711895525541513_4683230375146,1,0,1,0.333333333,182,9341,29,62,79,19,1305,27,25,0.925925926,1,5
711895525541513_1690154111231962,1,1,2,0.666666667,129,4199,9,34,59,3,1305,27,19,0.703703704,2,5
711895525541513_174874366207472,1,1,0,1,112,8527,3,28,51,24,1305,27,12,0.444444444,0,2
763806457067242_1497382353899951,0,1,2,0.333333333,0,6562,0,9,0,0,482,16,15,0.9375,92,1
763806457067242_1904154999808796,1,1,1,0.666666667,10,5773,0,22,5,3,482,16,13,0.8125,24,3
763806457067242_4683230375146,1,0,1,0.333333333,2,8314,1,6,1,2,482,16,15,0.9375,88,2
763806457067242_711895525541513,1,1,2,0.666666667,15,6420,0,27,2,4,482,16,15,0.9375,3,3
763806457067242_1690154111231962,1,1,0,1,3,4261,0,3,0,0,482,16,12,0.75,100,2
763806457067242_836280526420039,1,0,1,0.333333333,0,5563,0,0,0,0,482,16,12,0.75,100,1
763806457067242_642883955827095,1,1,2,0.666666667,0,7079,0,10,0,0,482,16,15,0.9375,53,3
763806457067242_306829992828516,1,1,0,1,12,7276,1,68,8,5,482,16,14,0.875,0,3
763806457067242_1635582596668008,1,1,2,0.666666667,10,5472,15,52,5,5,482,16,15,0.9375,1,4
763806457067242_174874366207472,1,1,2,0.666666667,1,8886,0,7,0,0,482,16,12,0.75,39,2
763806457067242_1545700675717582,1,1,1,0.666666667,32,7480,9,38,12,13,482,16,15,0.9375,3,4
836141716438809_836280526420039,1,0,1,0.333333333,0,5383,0,4,0,0,1482,28,12,0.428571429,100,2
836141716438809_1904154999808796,1,1,1,0.666666667,90,6130,24,58,1,5,1482,28,15,0.535714286,1,5
836141716438809_642883955827095,1,1,0,1,6,6899,6,45,0,1,1482,28,21,0.75,45,4
836141716438809_1635582596668008,1,1,0,1,0,5147,1,13,0,0,1482,28,17,0.607142857,1,3
836141716438809_1039259979422631,1,1,1,0.666666667,3,8782,2,25,0,0,1482,28,19,0.678571429,10,3
836141716438809_1545700675717582,1,1,1,0.666666667,5,7227,8,31,0,0,1482,28,17,0.607142857,1,3
836141716438809_1497382353899951,0,1,0,0.666666667,1,6382,2,8,0,0,1482,28,20,0.714285714,100,3
836141716438809_4683230375146,1,0,1,0.333333333,1,8340,2,11,0,0,1482,28,23,0.821428571,1,3
836141716438809_711895525541513,1,1,0,1,83,6797,23,38,0,5,1482,28,21,0.75,1,5
836141716438809_1690154111231962,1,1,2,0.666666667,12,4107,6,6,0,0,1482,28,16,0.571428571,45,5
836141716438809_306829992828516,1,1,2,0.666666667,20,7093,8,58,1,7,1482,28,18,0.642857143,1,4
836141716438809_763806457067242,1,1,2,0.666666667,2,7014,0,18,0,0,1482,28,15,0.535714286,1,4
836141716438809_174874366207472,1,1,0,1,0,8709,2,44,0,0,1482,28,12,0.428571429,1,1
836280526420039_1497382353899951,0,0,1,0,0,4943,0,13,0,0,1194,13,12,0.923076923,1,1
836280526420039_4683230375146,1,0,0,0.666666667,0,6695,0,0,0,0,1194,13,12,0.923076923,100,4
836280526420039_836141716438809,1,0,1,0.333333333,0,5383,0,4,0,0,1194,13,12,0.923076923,18,4
836280526420039_711895525541513,1,0,1,0.333333333,1,4801,0,9,0,0,1194,13,12,0.923076923,36,3
836280526420039_642883955827095,1,0,1,0.333333333,0,5460,0,15,0,0,1194,13,12,0.923076923,1,4
836280526420039_306829992828516,1,0,1,0.333333333,0,5654,0,1,0,0,1194,13,11,0.846153846,41,3
836280526420039_763806457067242,1,0,1,0.333333333,0,5563,0,0,0,0,1194,13,12,0.923076923,100,1
836280526420039_1635582596668008,1,0,1,0.333333333,0,3719,7,10,0,0,1194,13,12,0.923076923,2,5
836280526420039_1039259979422631,1,0,0,0.666666667,0,7343,0,6,0,0,1194,13,12,0.923076923,16,4
836280526420039_174874366207472,1,0,1,0.333333333,1,7267,0,2,0,0,1194,13,11,0.846153846,100,2
836280526420039_1545700675717582,1,0,0,0.666666667,0,5784,0,7,0,0,1194,13,12,0.923076923,2,3
1039259979422631_4683230375146,1,0,0,0.666666667,74,10410,18,23,26,4,3264,21,19,0.904761905,1,5
1039259979422631_711895525541513,1,1,1,0.666666667,182,8645,27,57,28,12,3264,21,19,0.904761905,14,5
1039259979422631_1690154111231962,1,1,1,0.666666667,42,6195,10,24,7,0,3264,21,15,0.714285714,2,4
1039259979422631_642883955827095,1,1,1,0.666666667,104,9074,3,38,13,2,3264,21,19,0.904761905,1,4
1039259979422631_763806457067242,1,1,1,0.666666667,4,8962,1,8,0,2,3264,21,15,0.714285714,91,3
1039259979422631_174874366207472,1,1,1,0.666666667,59,10992,13,49,8,0,3264,21,12,0.571428571,1,3
1039259979422631_1904154999808796,1,1,0,1,74,7785,10,31,10,0,3264,21,14,0.666666667,52,4
1039259979422631_1497382353899951,0,1,1,0.333333333,64,8412,11,33,3,0,3264,21,17,0.80952381,1,1
1039259979422631_1545700675717582,1,1,0,1,6,9183,4,18,0,1,3264,21,16,0.761904762,90,2
1497382353899951_642883955827095,0,1,0,0.666666667,154,6785,18,144,73,20,1279,21,18,0.857142857,1,4
1497382353899951_4683230375146,0,0,1,0,96,8956,12,30,28,5,1279,21,19,0.904761905,1,4
1497382353899951_1039259979422631,0,1,1,0.333333333,64,8412,11,33,58,19,1279,21,17,0.80952381,1,4
1497382353899951_711895525541513,0,1,0,0.666666667,150,5982,6,76,70,22,1279,21,18,0.857142857,1,5
1497382353899951_1904154999808796,0,1,1,0.333333333,81,5255,2,36,38,16,1279,21,14,0.666666667,0,4
1497382353899951_174874366207472,0,1,0,0.666666667,94,8513,2,38,45,20,1279,21,12,0.571428571,1,4
1497382353899951_1690154111231962,0,1,2,0.333333333,45,3721,2,31,23,2,1279,21,14,0.666666667,2,5
1497382353899951_1545700675717582,0,1,1,0.333333333,8,6843,1,13,2,0,1279,21,17,0.80952381,0,3
1545700675717582_711895525541513,1,1,1,0.666666667,14,6695,9,20,2,1,1292,18,17,0.944444444,89,5
1545700675717582_1690154111231962,1,1,1,0.666666667,5,4503,1,6,1,1,1292,18,13,0.722222222,13,2
1545700675717582_1904154999808796,1,1,0,1,10,6043,7,15,2,0,1292,18,13,0.722222222,0,3
1545700675717582_642883955827095,1,1,1,0.666666667,10,7385,1,25,4,1,1292,18,17,0.944444444,89,3
1545700675717582_4683230375146,1,0,0,0.666666667,10,8535,2,7,4,4,1292,18,17,0.944444444,88,3
1545700675717582_174874366207472,1,1,1,0.666666667,5,9111,3,30,2,0,1292,18,12,0.666666667,94,2
1545700675717582_1039259979422631,1,1,0,1,6,9183,4,18,2,3,1292,18,16,0.888888889,90,5
1545700675717582_1497382353899951,0,1,1,0.333333333,8,6843,1,13,3,0,1292,18,17,0.944444444,89,2
1635582596668008_1904154999808796,1,1,1,0.666666667,46,3918,2,11,0,0,859,20,14,0.7,4,2
1635582596668008_4683230375146,1,0,1,0.333333333,54,6886,23,43,9,6,859,20,18,0.9,4,4
1635582596668008_711895525541513,1,1,0,1,122,4835,23,40,8,7,859,20,18,0.9,4,4
1635582596668008_1690154111231962,1,1,2,0.666666667,17,2411,5,18,0,0,859,20,14,0.7,4,1
1635582596668008_642883955827095,1,1,0,1,63,5316,16,20,0,0,859,20,18,0.9,4,2
1635582596668008_306829992828516,1,1,2,0.666666667,33,5467,7,14,5,4,859,20,16,0.8,4,4
1635582596668008_763806457067242,1,1,2,0.666666667,10,5472,15,52,3,4,859,20,15,0.75,4,5
1635582596668008_836141716438809,1,1,0,1,0,5147,1,13,0,0,859,20,17,0.85,4,3
1635582596668008_174874366207472,1,1,0,1,36,7061,6,12,1,1,859,20,12,0.6,4,3
1635582596668008_1039259979422631,1,1,1,0.666666667,61,7431,9,23,11,5,859,20,18,0.9,2,4
1635582596668008_836280526420039,1,0,1,0.333333333,0,3719,7,10,0,0,859,20,12,0.6,4,3
1635582596668008_1497382353899951,0,1,0,0.666666667,51,4730,7,23,0,0,859,20,17,0.85,4,2
1635582596668008_1545700675717582,1,1,1,0.666666667,7,5598,3,16,1,1,859,20,16,0.8,4,4
1690154111231962_642883955827095,1,1,2,0.666666667,162,4780,18,58,51,17,1000,20,19,0.95,0,5
1690154111231962_711895525541513,1,1,2,0.666666667,129,4199,9,34,37,4,1000,20,19,0.95,0,4
1690154111231962_1904154999808796,1,1,1,0.666666667,69,2852,2,21,31,6,1000,20,13,0.65,56,3
1690154111231962_4683230375146,1,0,1,0.333333333,33,5393,14,18,30,2,1000,20,19,0.95,1,4
1690154111231962_1497382353899951,0,1,2,0.333333333,45,3721,2,31,18,1,1000,20,14,0.7,1,3
1690154111231962_1039259979422631,1,1,1,0.666666667,42,6195,10,24,28,0,1000,20,15,0.75,1,4
1690154111231962_174874366207472,1,1,2,0.666666667,19,6018,0,12,6,2,1000,20,11,0.55,0,4
1690154111231962_1545700675717582,1,1,1,0.666666667,5,4503,1,6,2,0,1000,20,13,0.65,0,3
1904154999808796_4683230375146,1,0,0,0.666666667,84,7849,11,24,25,4,793,16,15,0.9375,1,3
1904154999808796_711895525541513,1,1,1,0.666666667,296,6146,35,100,58,61,793,16,15,0.9375,0,5
